testID,lotNumber,printedExpiration,extendedExpiration
158002,172347A-172347C,2022-10-08,2023-08-08
158002,173998A-173998B 174105A 174110A-174110B,2022-10-13,2023-08-13
158002,174292A-174292B,2022-11-06,2023-09-06
158002,173422A-173422C,2022-11-15,2023-09-15
158002,175824A-175824B,2022-11-19,2023-09-19
158002,174087A,2022-11-20,2023-09-20
158002,174365A 174681A-174681B 175124A-175124B 175438A-175438B 175450A-175450C 175620A-175620B 175883A 176321A-176321B 176339A-176339C 177523A-177523B,2022-11-21,2023-09-21
158002,175933A,2022-12-02,2023-10-02
158002,176791A-176791B,2022-12-09,2023-10-09
158002,178674,2022-12-21,2023-10-21
158002,180440,2022-12-28,2023-10-28
158002,180105 180109 180685,2023-01-01,2023-11-01
158002,180107 180167,2023-01-02,2023-11-02
158002,180377,2023-01-04,2023-11-04
158002,180858 182315,2023-01-06,2023-11-06
158002,180870 181163,2023-01-07,2023-11-07
158002,181139,2023-01-08,2023-11-08
158002,179069A-179069B,2023-01-12,2023-10-14
158002,180891A-180891B,2023-01-28,2023-11-06
158002,181008A-181008C,2023-01-28,2023-11-10
158002,182861,2023-01-28,2023-11-18
158002,183002,2023-01-28,2023-11-20
158002,181455A-181455C,2023-02-04,2023-11-12
158002,187030A-187030C,2023-04-06,2023-11-06
158002,187032A-187032B,2023-04-13,2023-11-13
158002,187297,2023-04-15,2023-11-15
158002,187495,2023-04-28,2023-11-28
158002,185760A-185760B,2023-04-30,2023-11-30
158002,185958A-185958C 187302A-187302B,2023-05-02,2023-12-02
158002,186702,2023-05-06,2023-12-06
158002,186704B 186994A-186994B,2023-05-07,2023-12-07
158002,187298,2023-05-08,2023-12-08
158002,187435A-187435B,2023-05-09,2023-12-09
158002,187636A-187636B,2023-05-11,2023-12-11
158002,188045A,2023-05-12,2023-12-12
158003,155772 160046 160046A 160046B 160046C 160048,2022-03-20,2023-01-20
158003,155962 155962A 155962B 155962C 155962D 156064 156375 157899 157899A 157899B 160108,2022-03-21,2023-01-21
158003,156262,2022-03-22,2023-01-22
158003,160130 160130A,2022-03-23,2023-01-23
158003,163671 163698 163703,2022-03-24,2023-01-24
158003,157913 166948,2022-03-26,2023-01-26
158003,156796 157101 158078,2022-03-27,2023-01-27
158003,157141 157519 157901 158058,2022-03-28,2023-01-28
158003,158619 159338,2022-03-29,2023-01-29
158003,158172 158176 159606,2022-03-31,2023-01-30
158003,158187 159341 159437 166704,2022-04-01,2023-02-01
158003,159258,2022-04-02,2023-02-02
158003,158379 158397 158412 158721 158725 167540,2022-04-03,2023-02-03
158003,158576 158613 166503,2022-04-04,2023-02-04
158003,161151 162779 163395 167585,2022-04-08,2023-02-08
158003,167182 167200 167587 168377,2022-04-09,2023-02-09
158003,163396 167734,2022-04-11,2023-02-11
158003,163447,2022-04-13,2023-02-13
158003,166957,2022-04-16,2023-02-16
158003,161068 168194 168960,2022-04-17,2023-02-17
